symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BRK-B,2019-01-03 00:00:00+00:00,191.66,200.22,191.04,199.97,8540600,191.66,200.22,191.04,199.97,8540600,0.0,1.0
BRK-B,2019-01-04 00:00:00+00:00,195.2,196.69,193.88,194.85,6611200,195.2,196.69,193.88,194.85,6611200,0.0,1.0
BRK-B,2019-01-07 00:00:00+00:00,196.91,198.28,195.37,196.39,5423000,196.91,198.28,195.37,196.39,5423000,0.0,1.0
BRK-B,2019-01-08 00:00:00+00:00,196.31,199.08,194.66,198.99,4476800,196.31,199.08,194.66,198.99,4476800,0.0,1.0
BRK-B,2019-01-09 00:00:00+00:00,196.37,197.68,194.95,197.3,3607500,196.37,197.68,194.95,197.3,3607500,0.0,1.0
BRK-B,2019-01-10 00:00:00+00:00,196.58,197.9,194.96,195.51,3627700,196.58,197.9,194.96,195.51,3627700,0.0,1.0
BRK-B,2019-01-11 00:00:00+00:00,196.29,196.65,194.5,195.66,3535200,196.29,196.65,194.5,195.66,3535200,0.0,1.0
BRK-B,2019-01-14 00:00:00+00:00,195.78,196.44,194.46,194.78,3954300,195.78,196.44,194.46,194.78,3954300,0.0,1.0
BRK-B,2019-01-15 00:00:00+00:00,196.94,197.25,195.2,195.79,3206700,196.94,197.25,195.2,195.79,3206700,0.0,1.0
BRK-B,2019-01-16 00:00:00+00:00,198.41,199.57,197.24,197.64,5069600,198.41,199.57,197.24,197.64,5069600,0.0,1.0
BRK-B,2019-01-17 00:00:00+00:00,198.78,199.41,196.46,197.7,4161000,198.78,199.41,196.46,197.7,4161000,0.0,1.0
BRK-B,2019-01-18 00:00:00+00:00,204.48,204.73,200.24,200.7,5941200,204.48,204.73,200.24,200.7,5941200,0.0,1.0
BRK-B,2019-01-22 00:00:00+00:00,200.72,204.96,199.14,203.52,5397700,200.72,204.96,199.14,203.52,5397700,0.0,1.0
BRK-B,2019-01-23 00:00:00+00:00,201.15,201.31,198.5,200.72,3705400,201.15,201.31,198.5,200.72,3705400,0.0,1.0
BRK-B,2019-01-24 00:00:00+00:00,201.02,201.6,199.75,199.75,4074800,201.02,201.6,199.75,199.75,4074800,0.0,1.0
BRK-B,2019-01-25 00:00:00+00:00,202.75,204.74,201.02,203.05,3823300,202.75,204.74,201.02,203.05,3823300,0.0,1.0
BRK-B,2019-01-28 00:00:00+00:00,200.95,201.75,199.81,201.49,3718000,200.95,201.75,199.81,201.49,3718000,0.0,1.0
BRK-B,2019-01-29 00:00:00+00:00,202.05,202.15,200.5,200.92,2815400,202.05,202.15,200.5,200.92,2815400,0.0,1.0
BRK-B,2019-01-30 00:00:00+00:00,205.96,207.59,203.05,203.31,4519900,205.96,207.59,203.05,203.31,4519900,0.0,1.0
BRK-B,2019-01-31 00:00:00+00:00,205.54,208.01,203.64,204.68,8676200,205.54,208.01,203.64,204.68,8676200,0.0,1.0
BRK-B,2019-02-01 00:00:00+00:00,209.19,209.3,206.2,206.52,5992600,209.19,209.3,206.2,206.52,5992600,0.0,1.0
BRK-B,2019-02-04 00:00:00+00:00,208.52,209.4,207.05,209.16,3730900,208.52,209.4,207.05,209.16,3730900,0.0,1.0
BRK-B,2019-02-05 00:00:00+00:00,207.82,209.16,206.53,209.1,4243700,207.82,209.16,206.53,209.1,4243700,0.0,1.0
BRK-B,2019-02-06 00:00:00+00:00,206.01,207.24,205.1,207.24,3708800,206.01,207.24,205.1,207.24,3708800,0.0,1.0
BRK-B,2019-02-07 00:00:00+00:00,201.73,204.99,200.57,204.53,4908700,201.73,204.99,200.57,204.53,4908700,0.0,1.0
BRK-B,2019-02-08 00:00:00+00:00,200.92,201.2,198.21,200.82,4666700,200.92,201.2,198.21,200.82,4666700,0.0,1.0
BRK-B,2019-02-11 00:00:00+00:00,203.05,203.33,201.32,201.69,3600100,203.05,203.33,201.32,201.69,3600100,0.0,1.0
BRK-B,2019-02-12 00:00:00+00:00,206.15,206.67,204.87,204.94,3517900,206.15,206.67,204.87,204.94,3517900,0.0,1.0
BRK-B,2019-02-13 00:00:00+00:00,205.8,208.08,205.41,206.96,3325900,205.8,208.08,205.41,206.96,3325900,0.0,1.0
BRK-B,2019-02-14 00:00:00+00:00,202.78,204.64,201.6,204.64,3627300,202.78,204.64,201.6,204.64,3627300,0.0,1.0
BRK-B,2019-02-15 00:00:00+00:00,205.29,205.79,204.07,204.86,5044700,205.29,205.79,204.07,204.86,5044700,0.0,1.0
BRK-B,2019-02-19 00:00:00+00:00,205.69,206.32,204.68,205.1,3204178,205.69,206.32,204.68,205.1,3204178,0.0,1.0
BRK-B,2019-02-20 00:00:00+00:00,206.16,206.92,204.94,205.78,2920000,206.16,206.92,204.94,205.78,2920000,0.0,1.0
BRK-B,2019-02-21 00:00:00+00:00,205.33,206.86,204.35,206.27,3661365,205.33,206.86,204.35,206.27,3661365,0.0,1.0
BRK-B,2019-02-22 00:00:00+00:00,201.91,204.59,199.92,204.25,5574969,201.91,204.59,199.92,204.25,5574969,0.0,1.0
BRK-B,2019-02-25 00:00:00+00:00,202.31,205.0,201.22,201.7,5146500,202.31,205.0,201.22,201.7,5146500,0.0,1.0
BRK-B,2019-02-26 00:00:00+00:00,201.9,202.65,201.3,202.4,4892500,201.9,202.65,201.3,202.4,4892500,0.0,1.0
BRK-B,2019-02-27 00:00:00+00:00,202.29,202.3,201.25,201.72,4247200,202.29,202.3,201.25,201.72,4247200,0.0,1.0
BRK-B,2019-02-28 00:00:00+00:00,201.3,202.94,201.11,202.68,3619000,201.3,202.94,201.11,202.68,3619000,0.0,1.0
BRK-B,2019-03-01 00:00:00+00:00,203.13,203.84,201.84,203.15,3529400,203.13,203.84,201.84,203.15,3529400,0.0,1.0
BRK-B,2019-03-04 00:00:00+00:00,201.81,204.87,200.58,203.09,4640300,201.81,204.87,200.58,203.09,4640300,0.0,1.0
BRK-B,2019-03-05 00:00:00+00:00,201.47,202.0,200.58,201.76,5268400,201.47,202.0,200.58,201.76,5268400,0.0,1.0
BRK-B,2019-03-06 00:00:00+00:00,200.67,202.3,200.57,201.61,3216600,200.67,202.3,200.57,201.61,3216600,0.0,1.0
BRK-B,2019-03-07 00:00:00+00:00,199.3,200.58,197.99,200.58,5105700,199.3,200.58,197.99,200.58,5105700,0.0,1.0
BRK-B,2019-03-08 00:00:00+00:00,198.7,198.94,197.03,197.91,3755200,198.7,198.94,197.03,197.91,3755200,0.0,1.0
BRK-B,2019-03-11 00:00:00+00:00,202.09,202.3,199.47,199.62,3999300,202.09,202.3,199.47,199.62,3999300,0.0,1.0
BRK-B,2019-03-12 00:00:00+00:00,202.5,203.73,202.23,202.66,3756100,202.5,203.73,202.23,202.66,3756100,0.0,1.0
BRK-B,2019-03-13 00:00:00+00:00,204.06,205.36,202.66,203.0,3693600,204.06,205.36,202.66,203.0,3693600,0.0,1.0
BRK-B,2019-03-14 00:00:00+00:00,203.38,204.36,202.68,203.26,2904000,203.38,204.36,202.68,203.26,2904000,0.0,1.0
BRK-B,2019-03-15 00:00:00+00:00,204.31,206.16,203.86,204.08,7738851,204.31,206.16,203.86,204.08,7738851,0.0,1.0
BRK-B,2019-03-18 00:00:00+00:00,206.68,206.95,204.67,204.67,3882800,206.68,206.95,204.67,204.67,3882800,0.0,1.0
BRK-B,2019-03-19 00:00:00+00:00,205.15,207.75,204.56,207.75,3881500,205.15,207.75,204.56,207.75,3881500,0.0,1.0
BRK-B,2019-03-20 00:00:00+00:00,203.27,205.45,202.98,205.43,4053100,203.27,205.45,202.98,205.43,4053100,0.0,1.0
BRK-B,2019-03-21 00:00:00+00:00,204.43,204.7,201.91,202.92,4182300,204.43,204.7,201.91,202.92,4182300,0.0,1.0
BRK-B,2019-03-22 00:00:00+00:00,200.55,204.01,200.06,203.28,5872400,200.55,204.01,200.06,203.28,5872400,0.0,1.0
BRK-B,2019-03-25 00:00:00+00:00,199.44,201.98,198.2,200.83,4113100,199.44,201.98,198.2,200.83,4113100,0.0,1.0
BRK-B,2019-03-26 00:00:00+00:00,200.62,201.32,198.7,200.83,3737800,200.62,201.32,198.7,200.83,3737800,0.0,1.0
