symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2019-01-03 00:00:00+00:00,97.11,98.89,96.69,98.64,16286426,84.0955522848,85.6370009828,83.7318396706,85.4205053792,16286426,0.8,1.0
JPM,2019-01-04 00:00:00+00:00,100.69,100.93,98.28,99.11,16935205,87.1957693292,87.4036051087,85.1087517099,85.827517114,16935205,0.0,1.0
JPM,2019-01-07 00:00:00+00:00,100.76,101.47,99.71,100.43,15430712,87.2563880982,87.8712356126,86.3471065628,86.9706139014,15430712,0.0,1.0
JPM,2019-01-08 00:00:00+00:00,100.57,101.82,99.55,101.63,13578777,87.0918514394,88.1743294577,86.2085493765,88.0097927989,13578777,0.0,1.0
JPM,2019-01-09 00:00:00+00:00,100.4,101.49,99.93,100.81,14230331,86.9446344289,87.8885552609,86.537622694,87.2996872189,14230331,0.0,1.0
JPM,2019-01-10 00:00:00+00:00,100.39,100.73,99.27,100.02,14376430,86.9359746048,87.2304086257,85.9660743004,86.6155611114,14376430,0.0,1.0
JPM,2019-01-11 00:00:00+00:00,99.91,100.17,98.95,99.89,15439850,86.5203030458,86.7454584736,85.6889599277,86.5029833975,15439850,0.0,1.0
JPM,2019-01-14 00:00:00+00:00,100.94,101.36,98.66,98.87,21258458,87.4122649328,87.775977547,85.4378250275,85.6196813345,21258458,0.0,1.0
JPM,2019-01-15 00:00:00+00:00,101.68,102.47,98.6,98.89,26504852,88.0530919196,88.7372180272,85.3858660826,85.6370009828,26504852,0.0,1.0
JPM,2019-01-16 00:00:00+00:00,102.5,103.45,101.8,102.25,18532952,88.7631974996,89.5858807935,88.1570098094,88.546701896,18532952,0.0,1.0
JPM,2019-01-17 00:00:00+00:00,102.92,103.5,101.92,102.11,14247564,89.1269101138,89.6291799143,88.2609276992,88.4254643579,14247564,0.0,1.0
JPM,2019-01-18 00:00:00+00:00,104.59,104.9,102.83,103.77,16428710,90.5731007462,90.8415552948,89.0489716965,89.8629951662,16428710,0.0,1.0
JPM,2019-01-22 00:00:00+00:00,102.94,103.59,102.13,103.08,17083681,89.1442297621,89.7071183316,88.4427840062,89.2654673001,17083681,0.0,1.0
JPM,2019-01-23 00:00:00+00:00,102.68,103.7,101.97,103.44,12146678,88.9190743343,89.8023763972,88.3042268199,89.5772209694,12146678,0.0,1.0
JPM,2019-01-24 00:00:00+00:00,102.74,103.09,101.94,102.13,11296764,88.9710332792,89.2741271243,88.2782473475,88.4427840062,11296764,0.0,1.0
JPM,2019-01-25 00:00:00+00:00,103.39,104.31,102.74,103.51,14412559,89.5339218487,90.3306256701,88.9710332792,89.6378397384,14412559,0.0,1.0
JPM,2019-01-28 00:00:00+00:00,103.88,104.24,102.59,102.89,12283089,89.9582532318,90.2700069011,88.841135917,89.1009306414,12283089,0.0,1.0
JPM,2019-01-29 00:00:00+00:00,104.17,105.11,103.73,103.88,9743271,90.2093881321,91.0234116018,89.8283558696,89.9582532318,9743271,0.0,1.0
JPM,2019-01-30 00:00:00+00:00,104.41,105.24,103.78,104.14,12526274,90.4172239116,91.1359893157,89.8716549904,90.1834086596,12526274,0.0,1.0
JPM,2019-01-31 00:00:00+00:00,103.5,103.8,102.73,103.41,17520551,89.6291799143,89.8889746387,88.962373455,89.551241497,17520551,0.0,1.0
JPM,2019-02-01 00:00:00+00:00,103.88,104.85,103.52,104.0,13000780,89.9582532318,90.798256174,89.6464995626,90.0621711216,13000780,0.0,1.0
JPM,2019-02-04 00:00:00+00:00,104.25,104.25,103.01,103.79,9871549,90.2786667252,90.2786667252,89.2048485311,89.8803148145,9871549,0.0,1.0
JPM,2019-02-05 00:00:00+00:00,103.79,104.55,103.29,104.52,12762982,89.8803148145,90.5384614496,89.4473236072,90.5124819772,12762982,0.0,1.0
JPM,2019-02-06 00:00:00+00:00,103.74,104.62,103.47,103.71,8744957,89.8370156938,90.5990802187,89.6032004418,89.8110362213,8744957,0.0,1.0
